My dear countrymen, Namaskar. ||ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ନମସ୍କାର ।
Do you know why they had to resort to such a cowardly operation? Because even the British who raised a mighty empire used to be terrified of him.||ସେମାନେ ଏଭଳି କାପୁରୁଷତାପୂର୍ଣ୍ଣ ଉପାୟ କାହିଁକି ଅବଲମ୍ବନ କଲେ ତାହା ଆପଣ ଜାଣନ୍ତି କି? କାରଣ ଏତେ ବଡ଼ ସାମ୍ରାଜ୍ୟ ସୃଷ୍ଟି କରିଥିବା ଇଂରେଜମାନେ ମଧ୍ୟ ତାଙ୍କୁ ଭୟ କରୁଥିଲେ ।
Bhagwan Birsa Munda took on the might of the guns & cannons of the British, using traditional bows and arrows, to shake them apart.||ଭଗବାନ “ବିର୍ସା ମୁଣ୍ଡା”କେବଳ ନିଜର ପାରମ୍ପରିକ ଧନୁଶର ସାହାଯ୍ୟରେ ହିଁ ବନ୍ଧୁକ କମାଣ ଆଦି ରଖିଥିବା ଇଂରେଜ ପ୍ରଶାସନଙ୍କୁ ଦୋହଲାଇ ଦେଇଥିଲେ ।
The fact is, when people are blessed with exemplary leadership, the might of arms pales in comparison to the collective will power of the people.||ବାସ୍ତବରେ ଲୋକଙ୍କୁ ଯେତେବେଳେ ଏକ ପ୍ରେରଣାଦାୟୀ ନେତୃତ୍ୱ ମିଳେ ସେତେବେଳେ ଅସ୍ତ୍ରଶସ୍ତ୍ରର ଶକ୍ତି ଲୋକମାନଙ୍କ ସାମୁହିକ ଇଚ୍ଛାଶକ୍ତି ଆଗରେ ହାରମାନେ ।
Bhagwan Birsa Munda not only waged a struggle against the British for political freedom; he also actively fought for the social & economic rights of the tribal folk.||ଭଗବାନ “ବିର୍ସା ମୁଣ୍ଡା” କେବଳ ରାଜନୈତିକ ସ୍ୱାଧୀନତା ପାଇଁ ଇଂରେଜମାନଙ୍କ ସହ ଲଢ଼ିନଥିଲେ ବରଂ ଆଦିବାସୀମାନଙ୍କ ସାମାଜିକ ଏବଂ ଆର୍ଥିକ ଅଧିକାର ପାଇଁ ମଧ୍ୟ ସଂଗ୍ରାମ କରିଥିଲେ ।
And he accomplished all this in his rather short life.||ନିଜର ଅଳ୍ପାୟୁ ଜୀବନରେ ସେ ଏହା ସବୁକିଛି କରି ଦେଖାଇଲେ ।
He let sunshine peep into the darkened lives of the deprived and the oppressed.||ବଂଚିତ ଏବଂ ଶୋଷିତମାନଙ୍କ ଅନ୍ଧକାରପୂର୍ଣ୍ଣ ଜୀବନକୁ ସୂର୍ଯ୍ୟସମ ଆଲୋକିତ କଲେ ।
Bhagwan Birsa Munda sacrificed his life at the tender age of twenty five.||ଭଗବାନ ବିର୍ସାମୁଣ୍ଡା 25 ବର୍ଷର ଅଳ୍ପ ଆୟୁରେ ହିଁ ନିଜର ବଳିଦାନ ଦେଲେ ।
Illustrious sons of Mother India, such as Birsa Munda have come into being in each & every part of the country.||ବିର୍ସା ମୁଣ୍ଡାଙ୍କ ଭଳି ଭାରତମାତାଙ୍କ ସୁପୁତ୍ର ଦେଶର ପ୍ରତ୍ୟେକ ଭାଗରେ ଜନ୍ମଗ୍ରହଣ କରିଛନ୍ତି ।
There must’ve been hardly any part of India, which did not produce someone who contributed in the long freedom struggle, that spanned centuries.||ଭାରତର ଏଭଳି କୌଣସି ଅଂଚଳ ନ ଥିବ ଯେଉଁଠାରୁ ଶହ ଶହ ବର୍ଷ ଧରି ଚାଲିଆସିଥିବା ସ୍ୱାଧୀନତାର ଏହି ସଂଗ୍ରାମରେ କେହି ଯୋଗ ଦେଇନଥିବେ ।
But it’s a misfortune that these tales of valour and sacrifice did not reach the new generations.||କିନ୍ତୁ ଏମାନଙ୍କ ତ୍ୟାଗ, ଶୌର୍ଯ୍ୟ ଏବଂ ବଳିଦାନର କାହାଣୀ ନୂତନ ପିଢ଼ି ପର୍ଯ୍ୟନ୍ତ ପହଂଚି ନ ପାରିଥିବା ଦୁର୍ଭାଗ୍ୟର ବିଷୟ ।
If the valourous Bhagwan Birsa Munda made us aware of our existence & identity, far-sighted Jamsetji Tata created great institutions for the country.||ଯେମିତି ଭଗବାନ “ବିର୍ସା ମୁଣ୍ଡା”ଙ୍କ ଭଳି ବ୍ୟକ୍ତିତ୍ୱ ଆମକୁ ନିଜର ଅସ୍ତିତ୍ୱର ଅନୁଭବ କରାଇଲେ, ସେହିଭଳି ଜାମଶେଦ୍ ଜୀ ଟାଟାଙ୍କ ଭଳି ବ୍ୟକ୍ତି ଦେଶକୁ ବଡ଼ ବଡ଼ ସଂସ୍ଥାନ ଦେଲେ ।
Jamsetji Tata was a true visionary, who not only foresaw India’s future, but also duly laid strong foundations.||ଜାମଶେଦଜୀ ଟାଟା ପ୍ରକୃତ ଅର୍ଥରେ ଜଣେ ଦୂରଦ୍ରଷ୍ଟା ଥିଲେ ଯିଏ କେବଳ ଭାରତର ଭବିଷ୍ୟତକୁ ଦେଖିନଥିଲେ ବରଂ ଏହାର ମଜଭୁତ ମୂଳଦୁଆ ପକାଇଥିଲେ ।
He knew very well that making India a hub of science, technology and industry was imperative for her future.||ଭାରତକୁ ବିଜ୍ଞାନ, ପ୍ରଯୁକ୍ତିବିଦ୍ୟା ଏବଂ ଶିଳ୍ପର କେନ୍ଦ୍ରକରି ଗଢ଼ିତୋଳିବା ଭବିଷ୍ୟତ ପାଇଁ ଏକ ଆବଶ୍ୟକତା ବୋଲି ସେ ଭଲଭାବେ ଜାଣିଥିଲେ ।
It was his vision that culminated in the establishment of the Tata Institute of Science, which we know as Indian Institute of Science today.||ଏହା ତାଙ୍କରି ଦୂରଦୃଷ୍ଟି ଥିଲା ଯାହାର ଫଳସ୍ୱରୂପ Tata Institute of Scienceପ୍ରତିଷ୍ଠିତ ହୋଇଥିଲା ଯାହା ଏବେ Indian Institute of Science ନାମରେ ପରିଚିତ ।
Not just that, he also established world renowned institutions and industries such as Tata Steel.||କେବଳ ଏତିକି ନୁହେଁ, ସେ Tata Steel ଭଳି ଅନେକ ବିଶ୍ୱସ୍ତରୀୟ ସଂସ୍ଥା ଏବଂ ଶିଳ୍ପ ସେ ପ୍ରତିଷ୍ଠା କରିଥିଲେ ।
On a voyage to America, Jamsetji Tata met Swami Vivekananda on the ship.||ଜାମଶେଦଜୀ ଟାଟା ଏବଂ ସ୍ୱାମୀ ବିବେକାନନ୍ଦଜୀଙ୍କ ସାକ୍ଷାତ ସେମାନଙ୍କ ଆମେରିକା ଯାତ୍ରା ସମୟରେ ଜଳଜାହାଜରେ ହୋଇଥିଲା ।
They had an important topic of their discussion was the outreach & spread of Science & Technology in India.||ସେତେବେଳେ ସେମାନଙ୍କ ଆଲୋଚନାର ଗୋଟିଏ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ପ୍ରସଙ୍ଗ- ଭାରତରେ ବିଜ୍ଞାନ ଓ ପ୍ରଯୁକ୍ତିବିଦ୍ୟାର ପ୍ରଚାର ଓ ପ୍ରସାର ସହ ଜଡ଼ିତ ଥିଲା ।
It is said… this very discussion led to the founding of the Indian Institute of Science.My dear countrymen, our former Prime Minister Morarji Desai was born on the 29th of February.||କୁହାଯାଏ ଯେ ଏହି ଆଲୋଚନା ଫଳରେ Indian Institute of Scienceର ମୂଳଦୁଆ ପଡ଼ିଥିଲା ।ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ଆମ ଦେଶର ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମୋରାରଜୀ ଭାଇ ଦେଶାଇଙ୍କ ଜନ୍ମ ଫେବୃଆରୀ 29 ତାରିଖରେ ହୋଇଥିଲା ।
All of you know that this day comes just once in four years.||ଆପଣମାନେ ଜାଣନ୍ତି ଯେ ଏହି ଦିନଟି ଚାରିବର୍ଷରେ ଥରେ ପଡ଼େ ।
A simple, peace loving personality, Morarji bhai was one of the most disciplined leaders.||ସରଳ, ଶାନ୍ତିପୂର୍ଣ୍ଣ ବ୍ୟକ୍ତିତ୍ୱର ଅଧିକାରୀ ମୋରାରଜୀ ଭାଇ ଦେଶର ସବୁଠାରୁ ଅନୁଶାସିତ ନେତାମାନଙ୍କ ମଧ୍ୟରେ ଅନ୍ୟତମ ।
In Independent India, the record of presenting the budget the maximum number of times is held by Morarji bhai Desai.||ସ୍ୱାଧୀନ ଭାରତରେ ସଂସଦରେ ସର୍ବାଧିକ ଥର ବଜେଟ ଉପସ୍ଥାପନ କରିବାର ରେକର୍ଡ ମୋରାରଜୀ ଭାଇ ଦେଶାଇଙ୍କ ନାମରେ ହିଁ ରହିଛି ।
Morarji Desai steered the course of the country through some difficult times, when the very democratic fabric of the country was under a threat.||ମୋରାରଜୀ ଦେଶାଇ ସେହି କଠିନ ସମୟରେ ଦକ୍ଷତାର ସହ ଭାରତକୁ ନେତୃତ୍ୱ ପ୍ରଦାନ କରିଥିଲେ ଯେତେବେଳେ ଦେଶର ଗଣତନ୍ତ୍ର ପ୍ରତି ବିପଦ ରହିଥିଲା ।
For this, next generation will be obliged.||ଏଥିପାଇଁ ଆମର ଆଗାମୀ ପିଢ଼ି ମଧ୍ୟ ତାଙ୍କଠାରେ କୃତଜ୍ଞ ରହିବ ।
To save democracy, Morarji Desai flung himself in the movement against imposition of Emergency.||ମୋରାରଜୀ ଭାଇ ଦେଶାଇ ଗଣତନ୍ତ୍ରର ସୁରକ୍ଷା ପାଇଁ ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତି ବିରୁଦ୍ଧରେ ଆନ୍ଦୋଳନରେ ନିଜକୁ ସର୍ମପିତ କରିଦେଲେ ।
For this, he had to pay a heavy price in his old age.||ସେଥିପାଇଁ ତାଙ୍କୁ ବାର୍ଦ୍ଧକ୍ୟ ସମୟରେ ମଧ୍ୟ ବହୁମୂଲ୍ୟ ଦେବାକୁ ପଡ଼ିଥିଲା ।
The government of that time arrested and incarcerated him.||ତତ୍କାଳୀନ ସରକାର ତାଙ୍କୁ ଗିରଫ କରି କାରାଗାରରେ ବନ୍ଦୀ କରିଦେଲେ ।
But when the Janata Party won the general elections in 1977, he became the Prime Minister of the country.||କିନ୍ତୁ 1977ରେ ଯେତେବେଳେ ଜନତା ଦଳ ନିର୍ବାଚନରେ ବିଜୟ ଲାଭ କଲା ସେତେବେଳେ ସେ ଦେଶର ପ୍ରଧାନମନ୍ତ୍ରୀ ହେଲେ ।
During his tenure, the 44th constitutional amendment was introduced.||ତାଙ୍କରି କାର୍ଯ୍ୟକାଳରେ ସମ୍ବିଧାନର 44ତମ ସଂଶୋଧନ କରାଗଲା ।
This was important because the 42nd amendment which was brought during the emergency, curtailed the powers of the Supreme Court and implemented provisions which stood to violate our democratic values, was struck down.||ଏହା ଏଥିପାଇଁ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ କାରଣ ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତି ସମୟରେ ହୋଇଥିବା 42ତମ ସମ୍ବିଧାନ ସଂଶୋଧନ ଯେଉଁଥିରେ ସର୍ବୋଚ୍ଚ ନ୍ୟାୟାଳୟର କ୍ଷମତା ହ୍ରାସ କରିବା ସହ ଅନ୍ୟ ଏଭଳି ବ୍ୟବସ୍ଥା ଥିଲା ଯାହା ଆମର ଗଣତାନ୍ତ୍ରିକ ମୂଲ୍ୟବୋଧକୁ କ୍ଷୁର୍ଣ୍ଣ କରୁଥିଲା ।
Thos were reestablished||ସେଗୁଡ଼ିକୁ ପୁନଃସ୍ଥାପିତ କରାଗଲା ।
The 44th amendment, made it mandatory that the proceedings of Parliament and Legislative Assemblies were made public through the newspapers.||ଯେମିତିକି 44ତମ ସଂଶୋଧନ ମାଧ୍ୟମରେ ସଂସଦ ଏବଂ ବିଧାନସଭାର କାର୍ଯ୍ୟଧାରା ସମ୍ପର୍କରେ ସମ୍ବାଦପତ୍ରରେ ପ୍ରକାଶନର ବ୍ୟବସ୍ଥା କରାଗଲା ।
This amendment, restored certain powers of Supreme Court.||ଏହାରି ବଳରେ ସର୍ବୋଚ୍ଚ ନ୍ୟାୟାଳୟର କିଛି କ୍ଷମତାକୁ ପୁନଃସ୍ଥାପିତ କରାଗଲା ।
In this correction it is declared that the fundamental rights granted under Article 20 and 21 of the Constitution could not be abrogated during the Emergency.||ଏହି ସଂଶୋଧନରେ ଏ ବ୍ୟବସ୍ଥା ମଧ୍ୟ କରାଗଲା ଯେ, ସମ୍ବିଧାନର ଅନୁଚ୍ଛେଦ 20 ଏବଂ 21 ଦ୍ୱାରା ପ୍ରାପ୍ତ ମୌଳିକ ଅଧିକାରଗୁଡ଼ିକୁ ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତିରେ ମଧ୍ୟ କ୍ଷୁର୍ଣ୍ଣ କରାଯାଇପାରିବ ନାହିଁ ।
For the first time constitutional safeguards guaranteed that the President could only announce the emergency upon the written recommendation of the Cabinet.||ପ୍ରଥମଥର ପାଇଁ ଏଭଳି ବ୍ୟବସ୍ଥା କରାଗଲା ଯେ, ମନ୍ତ୍ରିମଣ୍ଡଳର ଲିଖିତ ସୁପାରିଶ ଆଧାରରେ ହିଁ ରାଷ୍ଟ୍ରପତି ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତି ଘୋଷଣା କରିପାରିବେ ।
Along with this, it is also decided that the period of emergency could not be extended more than six months at any stretch of time.||ଏଥିସଙ୍ଗେ ଏହା ମଧ୍ୟ ସ୍ଥିର କରାଗଲା ଯେ,ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତି ଅବଧିକୁ ଥରକେ ଛଅମାସରୁ ଅଧିକ ବୃଦ୍ଧି କରାଯାଇପାରିବ ନାହିଁ ।
In this way, Morarji Bhai ensured that the way democracy was assassinated in 1975 by imposition of emergency, could never be repeated again in the future.||ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତି ଜାରି ମାଧ୍ୟମରେ 1975ରେ ଯେଉଁଭଳି ଗଣତନ୍ତ୍ରର ହତ୍ୟା କରାଯାଇଥିଲା,ଭବିଷ୍ୟତରେ ଯେପରି ଏହାର ପୁନରାବୃତି ନ ହୁଏ ଏହି କଥାକୁ ମୋରାରଜୀଭାଇ ସୁନିଶ୍ଚିତ କରିଥିଲେ ।
The upcoming generations of our nation will always remember his priceless contribution in maintaining the sanctity of Indian democracy.||ଭାରତୀୟ ଗଣତନ୍ତ୍ରର ମହାତ୍ମ୍ୟକୁ ବଜାୟ ରଖିବାରେ ତାଙ୍କର ଅମୂଲ୍ୟ ଅବଦାନକୁ ଆଗାମୀ ପିଢ଼ି ସର୍ବଦା ମନେରଖିବ ।
Once again I pay my homage to a great leader like him.My beloved countrymen, this year too, there was a great buzz about the Padma award.||ପୁଣିଥରେ ଏଭଳି ମହାନ ନେତାଙ୍କୁ ମୁଁ ନିଜର ଶ୍ରଦ୍ଧାଞ୍ଜଳି ଅର୍ପଣ କରୁଛି ।ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ପ୍ରତିବର୍ଷ ଭଳି ଏ ବର୍ଷ ମଧ୍ୟ ପଦ୍ମ ପୁରସ୍କାରକୁ ନେଇ ଲୋକମାନଙ୍କ ମଧ୍ୟରେ ଖୁବ୍ ଉତ୍ସୁକତା ଥିଲା ।
Today as we head towards a new India, in which we want to honour those who are doing their work at the grass-root level without any care for a reward.||ଆଜି ଆମେମାନେ ଗୋଟିଏ ନୂତନ ଭାରତ ଦିଗରେ ଅଗ୍ରସର, ଏଥିରେ ଆମେ ସେଇ ଲୋକମାନଙ୍କୁ ସମ୍ମାନିତ କରିବାକୁ ଚାହୁଁ ଯେଉଁମାନେ ତୃଣମୂଳ ସ୍ତରରେ ନିଜର କାମ ଅତି ନିଷ୍କାମ ଭାବରେ କରିଛନ୍ତି ।
They, by their diligence, are powering positive changes in the lives of others in myriad ways.||ବିଭିନ୍ନ ଭାବରେ ନିଜର ପରିଶ୍ରମ ଦ୍ୱାରା ଅନ୍ୟମାନଙ୍କ ଜୀବନରେ ସକାରାତ୍ମକ ପରିବର୍ତ୍ତନ ଆଣିପାରୁଛନ୍ତି ।
THey are selflessly engaged in public service, social service and, above all, in the service to the nation.||ଜନସେବା, ସମାଜସେବା ଓ ସର୍ବୋପରି ରାଷ୍ଟ୍ରସେବାରେ ସେମାନେ ନିଃସ୍ୱାର୍ଥପର ଭାବେ ଲାଗି ରହିଛନ୍ତି ।
In reality they are true ‘Karmyogis,’ ||ସେମାନେ ବାସ୍ତବରେ କର୍ମଯୋଗୀ ।
You must have been a witness yourself to the curiosity in the air when the Padma awards are announced, and people are inquisitive about the awardees.||ଆପଣମାନେ ଦେଖିଥିବେ, ଯେତେବେଳେ ପଦ୍ମ ପୁରସ୍କାର ଘୋଷଣା ହୁଏ ସେତେବେଳେ ଲୋକେ ପଚାରନ୍ତି ଇଏ କିଏ ବୋଲି ।
In a way, I consider this to be a huge pat on the back ||ମୁଁ ଏହାକୁ ଏକ ବଡ଼ ସଫଳତା ଭାବରେ ମନେକରେ ।
because these are people who are not on the front page of a Magazine or Newspaper or on our TV screens.||କାରଣ ଏହି ଲୋକମାନେ ଟିଭି, ପତ୍ରପତ୍ରିକା କିମ୍ବା ଖବରକାଗଜର ମୁଖପୃଷ୍ଠାରେ ନ ଥାନ୍ତି ।
They are far removed from the world of glitter and glare||ଏମାନେ ଦୁନିଆର ଚାକଚକ୍ୟଠାରୁ ବହୁଦୂରରେ ରହିଥାନ୍ତି ।
but people who do not care about name or fame but simply believe in toiling at the proletarian level.||କିନ୍ତୁ ଏମାନେ ଏଭଳି ଲୋକ ଯେଉଁମାନେ ନାଁ କମେଇବା ଆଶା ନ ରଖି ତୃଣମୂଳ ସ୍ତରରେ କାମ କରିବାରେ ବିଶ୍ୱାସ କରନ୍ତି ।
They believe in living in the manner as preached by the shloka of Srimadbhagvad Gita 'Yoga: Karmasu Kaushalam', or excellence in action is yoga.||‘ଯୋଗଃ କର୍ମସୁ କୌଶଳମ୍’ଗୀତାର ଏହି ଉକ୍ତିକୁ ସେମାନେ ନିଜ ଜୀବନରେ ସାକାର କରିପାରିଛନ୍ତି ।
I would like to tell you about some of these people.||ମୁଁ ଆପଣମାନଙ୍କୁ ଏହିଭଳି କିଛି ଲୋକଙ୍କ ବିଷୟରେ କହିବାକୁ ଚାହେଁ ।
You must have heard about Odisha's Daitari Nayak||ଓଡ଼ିଶାର ଦୈତାରୀ ନାୟକଙ୍କ ବିଷୟରେ ଆପଣ ନିଶ୍ଚୟ ଶୁଣିଥିବେ ।
Who is not nicknamed the 'Canal Man of Odisha' for nothing.||ତାଙ୍କୁ ‘The Canal Man of Odisha’ ବୋଲି ବିନା କାରଣରେ କୁହାଯାଇନି ।
Daitari Nayak chiselled through the mountain literally with his hands and carved a three kilometers long canal in his village.||ଦୈତାରୀ ନାୟକ ନିଜ ହାତରେ ପାହାଡ଼କୁ କାଟି ତାଙ୍କ ଗାଁରେ ତିନି କିଲୋମିଟର ଲମ୍ବ ଗୋଟିଏ କେନାଲ ଖୋଳିପାରିଛନ୍ତି ।
He has put to rest forever the problem of irrigation and water by the sheer dint of his labour.||ନିଜ ପରିଶ୍ରମ ବଳରେ ସେ ପାଣି ଓ ଜଳସେଚନର ସମସ୍ୟାର ଏକ ସ୍ଥାୟୀ ସମାଧାନ କରିପାରିଛନ୍ତି ।
Take the case of Abdul Ghafoor Khatri of Gujarat||ଗୁଜରାଟର ଅବଦୁଲ ଗଫୁର ଖତ୍ରୀଙ୍କୁ ଦେଖନ୍ତୁ ।
He has done an amazing job of reviving the traditional Rogan painting form of Kutch.||ସେ କଚ୍ଛ ଅଂଚଳର ପାରମ୍ପରିକ‘ରୋଗନ୍ ଚିତ୍ରକଳା’କୁ ପୁନର୍ଜୀବିତ କରିବାର ଅଦ୍ଭୂତ କାମ କରିଦେଖାଇଛନ୍ତି ।
He is doing a great job of extending this rare painting art form to the present generation.||ସେ ଏହି ଦୁର୍ଲ୍ଲଭ ଚିତ୍ରକଳାକୁ ଆଧୁନିକ ଯୁବପିଢ଼ି ସହିତ ସଂଯୁକ୍ତ କରି ଏକ ବଡ଼ କାମ କରିଛନ୍ତି ।
I had gifted a Rogan painting titled 'Tree of Life' done by Abdul Gafoor, to the former President of USA, Mr. Barack Obama.||ଅବଦୁଲ ଗଫୁର ଅଙ୍କନ କରିଥିବା Tree of Life ନାମକ କଳାକୃତିଟିକୁ ମୁଁ ଆମେରିକାର ପୂର୍ବ ରାଷ୍ଟ୍ରପତି ବରାକ୍ ଓବାମାଙ୍କୁ ଉପହାର ସ୍ୱରୂପ ଦେଇଥିଲି ।
Among the recipients of the Padma award, Shabbir Sayyed of Marathwada ||ପଦ୍ମ ପୁରସ୍କାର ପାଇଥିବା ଆଉ ଜଣେ ହେଲେ ମରାଠୱାଡ଼ାର ସବୀର ସୈୟଦ୍ ।
He is known as the servant of Gau-Mata.||ସେ ଜଣେ ବିଶିଷ୍ଟ ଗୋ-ସେବକ ଭାବରେ ଜଣାଶୁଣା ।
The manner he has spent his entire life in the service of Gau-mata, is unique in itself.||ସେ ସାରାଜୀବନ ଗୋମାତାଙ୍କ ସେବାରେ ସମର୍ପିତ କରି ଏକ ଅନୁପମ ଉଦାହରଣ ସୃଷ୍ଟି କରିପାରିଛନ୍ତି ।
Madurai Chinna Pillai is the same person who at first tried to empower the downtrodden||ମଦୁରାଇ ଚିନ୍ନାପିଲ୍ଲୈ ଜଣେ ଏଭଳି ବ୍ୟକ୍ତିତ୍ୱ ଯିଏ କଲଂଜିୟମ ଆନ୍ଦୋଳନ ଦ୍ୱାରା ତାମିଲନାଡ଼ୁରେ ପୀଡ଼ିତ ଓ ଶୋଷିତମାନଙ୍କର ସଶକ୍ତିକରଣ ପାଇଁ ପ୍ରୟାସ କରିଥିଲେ ।
He exploited through the Kalanjiyam movement in Tamil Nadu and initiated community based micro financing.||ତା’ ସଙ୍ଗେ ସଙ୍ଗେ ସମବାୟ ଆଧାରିତ ଲଘୁ ଅର୍ଥବ୍ୟବସ୍ଥାର ଆରମ୍ଭ ମଧ୍ୟ କରିଥିଲେ ।
America's Tao Porchon-Lynch will leave you astounded||ଆମେରିକାର Tao Porchon-Lynch ବିଷୟରେ ଜାଣିଲେ ଆପଣଙ୍କୁ ସୁଖଦ ଆଶ୍ଚର୍ଯ୍ୟ ଅନୁଭୂତ ହେବ ।
Lynch has become a living institution of yoga today.||Lynch ଆଜି ଯୋଗର ଏକ ସଜୀବ ଅନୁଷ୍ଠାନ ଭାବରେ ପରିଚିତ ।
Even at the age of 100, she is training yoga to people from all over the world and till now has trained 1500 as yoga teachers.||ଶହେବର୍ଷ ବୟସରେ ଆଜି ମଧ୍ୟ ସେ ବିଶ୍ୱର ଲୋକମାନଙ୍କୁ ଯୋଗ ପ୍ରଶିକ୍ଷଣ ଦେଉଛନ୍ତି ଏବଂ ଏପର୍ଯ୍ୟନ୍ତ ପ୍ରାୟ ଦେଢ଼ ହଜାର ଲୋକଙ୍କୁ ଯୋଗ ଶିକ୍ଷକ ଭାବରେ ଗଢ଼ି ତୋଳିଛନ୍ତି ।
Jamuna Tudu, famous nicknamed 'Lady Tarzan' in Jharkhand, most valiantly took on the Timber Mafia and Naxalites||ଝାଡ଼ଖଣ୍ଡରେLady Tarjan ଭାବରେ ବିଖ୍ୟାତ ଯମୁନା ଟୁଡୁ କାଠ ମାଫିଆ ଓ ନକ୍ସଲମାନଙ୍କୁ ଦୃଢ଼ ମୁକାବିଲା କରିବାର ସାହସିକ କାମ କରିଛନ୍ତି ।
She has not only saved the 50 hectares of forest but also inspired ten thousand women to unite and protect the trees and wildlife.||ସେ ପ୍ରାୟ 50 ହେକ୍ଟର ଜଙ୍ଗଲକୁ ଉଜୁଡ଼ିଯିବାରୁ ରକ୍ଷା କରିବା ସଙ୍ଗେ ସଙ୍ଗେ ପ୍ରାୟ 10 ହଜାରରୁ ଉର୍ଦ୍ଧ୍ଵ ମହିଳାଙ୍କୁ ଏକତ୍ରିତ କରି ବୃକ୍ଷ ଏବଂ ବନ୍ୟଜୀବମାନଙ୍କର ସୁରକ୍ଷା ଦିଗରେ ପ୍ରେରଣା ଦେଇଛନ୍ତି ।
It is a tribute to Jamuna ji's diligence that today, on the birth of every child, villagers plant 18 trees.||ଆଜି ଗ୍ରାମବାସୀମାନେ ପ୍ରତ୍ୟେକ ପିଲାର ଜନ୍ମ ଉପଲକ୍ଷେ 18ଟି ଗଛ ଲଗାଉଥିବା ବେଳେ ପ୍ରତି ଝିଅର ବିଭାଘର ଉପଲକ୍ଷେ 10ଟି ଗଛ ଲଗାଉଛନ୍ତି, ଏହା ଯମୁନାଜୀଙ୍କ ଅକ୍ଳାନ୍ତ ପରିଶ୍ରମର ଫଳ ।
The story of Muktaben Pankajkumar Dagali of Gujarat will fill you with inspiration despite being a divyang herself||ଗୁଜରାଟର ମୁକ୍ତାବେନ୍ ଫଙ୍କଜକୁମାର ଦଗଲିଙ୍କ କଥା ଆପଣଙ୍କୁ ଭରପୁର ପ୍ରେରଣା ଯୋଗାଇବ ।
it is difficult to find an example than what Muktaben did for the upliftment of divyang women ||ନିଜେ ଜଣେ ଦିବ୍ୟାଙ୍ଗ ହୋଇଥିଲେ ମଧ୍ୟ ଦିବ୍ୟାଙ୍ଗ ମହିଳାମାନଙ୍କର ଉତ୍ଥାନ ପାଇଁ ସେ ଯେଭଳି କାମ କରିଯାଇଛନ୍ତି ସେଭଳି ଉଦାହରଣ ମିଳିବା ବିରଳ ।
By establishing the institution named Chakshu Mahila Sevakunj, through the medium of which she has been engaged in a virtuous endeavour to make visually challenged children self-reliant.||ଚକ୍ଷୁ ମହିଳା ସେବାକୁଞ୍ଜ ନାମକ ସଂସ୍ଥା ଗଠନ କରି ସେ ଦୃଷ୍ଟିହୀନ ପିଲାମାନଙ୍କୁ ଆତ୍ମନିର୍ଭର କରିବାର ପୂଣ୍ୟ କାମରେ ବ୍ରତୀ ହୋଇଛନ୍ତି ।
The story of ‘Kisan Chachi’, i.e. ‘Farmer Aunty’ of Muzaffarpur in Bihar, or Rajkumari Devi is very inspiring.||ବିହାର ମୁଜାଫରପୁର ଅଂଚଳର ‘କିସାନ ଚାଚି’ ଭାବେ ଜଣାଶୁଣା, ରାଜକୁମାରୀ ଦେବୀଙ୍କ କଥା ମଧ୍ୟ ବହୁତ ପ୍ରେରଣାଦାୟକ ।
She has established a precedent in the direction of women empowerment and farming.||ମହିଳା ସଶକ୍ତିକରଣ ତଥା କୃଷିକୁ ଲାଭଜନକ କରିବା ଦିଗରେ ସେ ଏକ ଉଦାହରଣ ସୃଷ୍ଟି କରିପାରିଛନ୍ତି ।
Rajkumari Devi added 300 women of her area to a 'Self Help Group' and motivated the entire lot become financially self-reliant.||କିସାନ ଚାଚି ନିଜ ଅଂଚଳର ତିନିଶହ ମହିଳାଙ୍କୁ ସ୍ୱୟଂ ସହାୟକ ଗୋଷ୍ଠୀ ମାଧ୍ୟମରେ ଆର୍ଥିକ ଦୃଷ୍ଟିରୁ ସ୍ୱାବଲମ୍ବୀ ହେବାର ପ୍ରେରଣା ଦେଇଛନ୍ତି ।
She has trained the women of the village in pursuing other gainful means of employment||ସେ ଗ୍ରାମୀଣ ମହିଳାମାନଙ୍କୁ କୃଷିକର୍ମ ସହିତ ରୋଜଗାରର ଅନ୍ୟ ଉପାୟଗୁଡ଼ିକ ସମ୍ବନ୍ଧରେ ପ୍ରଶିକ୍ଷଣ ଦେଇଛନ୍ତି ।
most importantly she integrated technology with agriculture||ବଡ଼କଥା ହେଲା ସେ କୃଷି ସହିତ ପ୍ରଯୁକ୍ତିକୁ ବି ଯୋଡ଼ିବାର ବିଶେଷ ପ୍ରୟାସ କରିଛନ୍ତି ।
